x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
27.657207, 17.151075, -4.281825, NaN, -14.263516, -1.518900, NaN, 17.582889, NaN, 13.084928, 4.300564, -4.916623, 13.792534, NaN, 0.267984, 5.134881, 12.037201, 15.747227, 13.039100, -20.048479, NaN, 2.375229, 34.296148, 18.126028, 15.831400, 3.449947, 19.439548, NaN, NaN, -1.786021, -17.503151, -10.709231, -13.352004, -17.968650, -5.661170, -2.574361, NaN, 1.490246, NaN, -12.441970, 13.086841, 3.859749, -11.956530, -12.160641, NaN, -15.733594, 0.579853, 3.947940, 10.056540, -17.140774, -6.634446, 13.549254, 6.788465, 6.374563, NaN, NaN, 0.315162, NaN, 14.894745, 3.182016, 11.177336, -4.089527, 15.958412, 9.926688, 11.803898, 9.464479, 7.270625, -22.376445, -23.953992, NaN, 5.712430, -2.689547, 9.499376, 1.466372, -5.521123, 25.406789, -7.358167, 8.359344, 13.732790, 10.490483, 13.335989, -11.251558, 8.626538, 11.544900, 9.596628, 16.599774, 4.597455, NaN, -6.815582, -7.716154, -16.286626, 1.977952, -15.139993, 26.572240, -11.120528, NaN, H, NaN, NaN, G
NaN, 11.043924, -10.262672, -5.009160, -18.341902, 1.532981, -37.224846, NaN, -2.355148, NaN, 1.267699, -4.349096, 18.576963, -6.900675, 0.405883, 3.078703, 14.790190, NaN, 14.508579, -21.042711, 9.831289, 4.119418, 33.317597, NaN, 12.306787, 4.529203, 16.556915, NaN, -11.532044, -0.080217, -11.956995, -6.766522, -13.876894, -15.006698, NaN, -0.032990, -4.557949, 0.541431, 2.494785, -9.536925, 13.114928, 6.300040, -14.725974, -11.459395, -2.870034, -15.313932, 0.897720, 3.206883, 9.437840, -16.206864, -9.273546, 8.959922, 10.636966, 7.062300, 5.183656, 9.921145, -1.673415, 12.447362, 10.959553, NaN, 8.998029, -7.059207, 14.403990, 7.341038, 7.188879, 13.553559, 8.268926, -23.593344, -24.035933, 12.124572, 2.366946, NaN, NaN, -3.094576, -8.179465, 20.595417, -10.230112, 5.837104, 8.642544, 6.815858, 11.493261, -12.688748, 0.951659, 7.867431, NaN, 20.390445, NaN, 12.210579, NaN, -11.457673, -14.597764, NaN, -14.216242, 24.671306, -12.892371, J, H, NaN, G, H
26.102590, 13.689962, -9.264842, 1.040987, -14.896924, -0.190081, -38.189295, 16.553928, NaN, NaN, 3.758186, -3.346954, 14.166836, NaN, -1.099480, 1.061979, NaN, NaN, 13.661137, -21.597545, 11.403288, 3.808032, 31.555227, 14.306530, 16.761357, 6.286356, 16.660437, 9.000805, -11.437103, -2.995186, NaN, -6.771059, -13.421940, NaN, -11.223961, NaN, -3.774897, -2.200067, 4.095347, -15.026023, 12.972244, 8.466191, -12.371358, NaN, -9.245302, -13.597124, 1.237271, 2.263111, 7.391143, -16.359059, -9.018978, 13.497660, 6.438296, 5.087837, 2.586217, 5.681243, -2.065598, 15.269537, 13.833075, 4.099756, 9.749742, -6.532964, 14.010979, 6.573153, NaN, 10.909553, 7.946197, -22.286618, -22.765210, 13.519722, 6.219087, -6.237824, 6.700151, -2.210710, -5.202522, 19.554487, NaN, NaN, 12.265731, 8.344842, 7.852908, -10.185769, 5.280039, 8.011204, NaN, 17.158523, 2.308873, 11.645734, -7.990846, -3.877312, NaN, 10.292083, -13.305196, 26.739544, -10.588482, J, H, G, K, J
26.286106, 10.577452, -16.378777, -4.515171, -21.513502, NaN, -40.275615, 14.778346, -3.758494, NaN, -2.451541, -8.336997, 9.941208, -10.199766, -2.832540, 2.495670, 7.114405, 9.433624, 16.277810, -22.022896, 3.557205, 2.788189, 31.536499, 12.388823, 8.450460, 3.364713, 11.983963, 8.952501, NaN, 0.462255, -15.565814, -8.526187, NaN, -15.606100, -18.299275, -0.384478, -5.952565, 1.837202, 1.263447, -8.851741, 6.062259, NaN, -13.529581, NaN, NaN, -20.499445, 4.127039, 2.020760, 5.179101, -22.891291, -8.577628, 9.618936, 8.238405, 1.717366, NaN, 1.648149, -1.017245, 11.868067, NaN, 4.890076, 6.893786, -8.797466, 11.423187, 2.471975, 5.636406, 9.541275, 9.307024, NaN, NaN, 9.045986, 8.533070, -12.689091, 8.740510, -2.984558, NaN, NaN, -10.059175, 4.406038, 7.147320, 8.600115, 5.898348, -10.356421, 7.559002, 3.207891, 6.957579, NaN, -2.249201, 14.339303, -7.388006, -6.846335, -14.222319, 6.250341, -16.844565, NaN, -16.148269, J, H, H, NaN, I
NaN, 13.786052, -9.970447, -3.161865, -17.285882, -0.118910, -36.554790, 16.572985, -3.512879, 10.362649, -2.395618, NaN, 8.234797, NaN, -0.952904, 2.027025, NaN, NaN, 16.629500, -19.835257, 11.983907, 2.629052, 32.447122, 11.396617, NaN, 3.588649, 15.210231, 10.763816, NaN, -7.000255, -17.744111, -1.503941, -16.842882, -20.698029, -15.030603, 1.526603, -3.236753, 3.945316, 6.637141, -10.818830, 10.701524, 4.288761, -14.087219, -9.864773, -10.253337, -17.736617, -0.542252, -0.477662, 5.938414, -23.570359, -0.993106, 11.272951, NaN, NaN, 6.265371, -0.558378, -2.958294, 14.930509, 13.290452, 6.256873, 13.457941, -3.117512, 16.246695, 6.607071, 7.944546, 9.344690, 3.002229, -25.610538, -21.585894, 15.302811, 5.275139, -8.132815, 11.003789, 0.012514, -9.014440, 25.752806, -9.761819, 5.249933, 11.817404, NaN, 7.986174, -7.768320, 6.221676, 6.712256, 12.173514, 22.471892, NaN, NaN, -1.660687, -5.321993, -14.680452, 4.095645, NaN, 18.352954, -13.462337, K, H, G, NaN, I
23.578931, NaN, -11.521121, -4.682095, NaN, -0.488749, NaN, 15.204583, -2.416633, 5.160968, 2.182272, -3.991815, 11.822514, NaN, -1.136590, NaN, NaN, 10.360801, 12.922815, -21.137835, 9.722632, 3.964208, 35.585619, 15.231542, 16.094658, 5.681779, NaN, 7.643364, -11.468877, -6.712572, -13.506136, -5.082143, -15.695721, -17.281596, -12.640778, -6.246704, NaN, -0.540776, -0.896081, NaN, NaN, 4.217807, -14.371624, -13.398495, NaN, -19.221545, NaN, 0.505538, 9.026578, -20.858042, -7.129832, 11.688038, 4.724732, 4.365226, 3.441337, NaN, -5.250990, 13.777700, 13.351275, -0.921766, 11.131019, -10.949367, 17.370369, 6.735711, 5.321352, 9.703971, 6.666754, -31.281156, -20.846152, 11.056929, 0.979115, -12.074519, 7.695449, NaN, -16.453546, 18.840498, NaN, 2.719258, 5.884773, 6.885743, 6.034436, -11.398941, -1.482562, 6.924543, 5.846667, 18.230008, 0.036940, 7.493136, -7.992313, NaN, -20.471099, 4.636249, -14.655926, 23.775977, NaN, G, H, I, K, J
NaN, 14.144993, -9.160426, -6.633023, -18.320597, -5.635695, -37.225347, 13.521135, -5.771942, 8.844751, -0.317410, -8.887897, 11.659590, -5.342992, 1.431658, 3.706734, 13.275068, 11.835446, 12.495181, NaN, 9.246794, 0.303092, 35.516303, NaN, 13.324675, 0.706800, 15.645660, 11.656006, -6.370058, -9.668407, NaN, NaN, -16.596277, -17.241329, -9.240440, -4.860421, -3.538593, -1.235624, 2.964798, NaN, 15.507407, 0.820615, -14.873570, -7.437521, -6.076466, -20.074316, -5.662793, 1.808135, 8.690979, NaN, -5.066655, 12.638429, 7.846375, NaN, 0.200107, -0.267375, -6.132324, 10.400689, 14.034910, -3.727828, 14.553093, -8.418725, 11.480070, 6.828854, NaN, 12.794139, 0.887303, NaN, NaN, 14.765842, 4.658131, -7.653228, 13.120454, -3.849132, -12.537582, NaN, -8.463781, 3.221102, 13.210272, 8.854796, 6.606101, NaN, 6.270473, 7.084889, 8.434755, NaN, 3.680925, 16.277735, -5.948979, -8.883934, -16.764668, 2.832313, -15.365087, 24.113283, -14.199059, H, H, G, G, J
NaN, NaN, -13.671681, NaN, -20.428617, -1.472273, -44.745527, 14.339672, -10.166236, 0.974185, -2.200268, -11.280322, 10.932796, -12.879570, -5.622092, 2.759777, 8.557048, 4.380170, 10.957487, -23.061864, NaN, NaN, 30.980779, 7.491632, 9.470653, -3.362523, 14.102230, 11.721931, -10.661691, NaN, -14.712249, -10.052179, NaN, NaN, -18.120075, -6.344333, -10.228644, -4.632922, NaN, -14.750127, 6.251261, 6.987277, -16.714309, -17.192131, -12.394459, -23.508071, -3.700197, -1.159455, 13.431417, -23.606127, -11.091130, 6.523324, 1.117385, -1.297867, -2.484318, -2.407180, NaN, 8.301351, NaN, -0.372674, 8.683340, -9.893971, 9.406071, 2.633823, 2.913391, 9.252540, 1.256762, -28.105683, -25.699138, 13.258137, 1.951260, -11.925553, 2.742035, -3.698160, NaN, 13.176092, -18.379986, 0.629508, 1.882241, 6.759307, 7.030972, -12.290318, 6.892485, 2.331079, 10.438929, 14.049997, -6.957202, 10.896761, -8.520628, -8.474888, -13.690488, 2.266381, -17.322715, 13.175948, -17.094710, NaN, H, G, G, H
30.475393, NaN, -5.297550, -0.872115, -12.024189, 3.675842, -40.455092, 17.551828, -0.771853, 10.893608, 0.825051, -4.072306, 12.764576, -4.419117, -5.391999, 4.279823, 16.056566, 12.698593, NaN, NaN, 5.774478, 2.464032, 31.591389, 15.686230, 16.997813, 0.956842, NaN, 13.031124, NaN, -4.277270, -12.295258, -3.152850, -9.633327, -18.622899, -8.576752, 0.714934, -7.598929, 1.846692, NaN, -6.760715, 16.531490, 5.081269, -13.661345, -13.990138, -6.659263, -15.775420, 0.916418, 2.597793, 10.620737, -19.804029, -5.633811, 12.816382, 10.183326, 5.412336, NaN, 7.153023, -6.150238, NaN, 15.864632, 3.147818, 14.155364, -5.649628, 12.082782, 10.923759, 9.305479, 14.495441, 8.957779, -23.766924, -22.291471, 19.180088, NaN, -6.013484, 12.754084, 1.135444, -6.316632, NaN, -8.443306, 9.312588, 10.590835, 4.996930, 7.065577, -8.041829, 3.339849, 8.503060, 9.248585, 23.683996, 0.786782, 20.495102, -3.258296, -6.250024, -10.934156, 3.963332, -14.019879, 27.080491, NaN, H, H, H, H, G
21.946057, 8.132824, NaN, -4.219180, NaN, -2.633687, -38.727738, 16.178857, NaN, NaN, 0.914420, -7.895827, 11.327535, -7.702397, NaN, -1.168456, 11.713458, 11.297401, 15.705068, -28.681268, NaN, -1.360660, 30.819265, 15.202678, NaN, 5.467472, 18.748467, 2.611000, -7.077204, -2.828849, -18.040814, NaN, -17.189133, -15.995047, -11.641001, -7.694255, -6.035644, -1.011219, 1.448104, NaN, 10.866531, 3.932393, -14.251264, -9.950520, -9.497185, NaN, -1.110765, 1.656554, 8.540914, -18.785769, NaN, 8.705739, 4.391235, NaN, -3.913014, 5.937384, NaN, 14.306662, 10.587520, -3.392028, 6.657461, -7.461350, 8.308119, 3.354210, 5.934071, 10.383501, 4.219619, -23.329221, -22.858026, NaN, 5.295882, -7.536336, 8.377709, -4.632525, NaN, 14.539414, -10.248306, 4.993399, 10.453821, 4.494138, 4.629388, -8.116123, 3.691633, 5.853489, 6.580113, 16.780883, -2.216930, 8.930961, -8.972279, -6.704416, -13.414108, 0.922766, NaN, NaN, -14.597849, K, H, J, G, H
27.680759, 12.373975, -8.929568, -4.775832, -14.501818, -4.403111, NaN, 19.856739, -0.652758, 10.586083, -0.094541, -4.127181, 9.932396, -2.373219, -1.360096, 6.142515, 10.280782, 15.236908, 15.304199, -22.557065, 9.546977, NaN, 34.073813, NaN, 12.397539, 2.262832, 18.422287, NaN, -8.259305, -1.608300, -17.918150, -5.352299, -15.649240, -13.807593, -7.784325, -1.978948, -0.936946, 3.946440, 3.581943, -10.920777, NaN, 1.092786, -12.664271, NaN, -9.667894, -17.255081, NaN, 4.363562, 5.225937, -20.620058, -5.461034, 11.496959, 7.664080, 3.120806, 3.697871, 8.676896, -1.132929, 15.531182, 15.174711, NaN, 12.201800, -4.719360, 17.311684, NaN, 9.987204, 10.347827, 8.669902, -23.250720, -19.622976, 12.213258, 5.350960, -5.537229, 10.748791, -5.575275, -10.121318, NaN, -7.627910, 5.875025, 9.534424, 11.486155, 7.585650, -8.589580, 4.139701, 14.625697, 9.318684, 15.485549, 3.585492, 11.608301, -7.812890, -6.778973, -15.586346, 5.625014, -16.663389, 28.163331, -9.248853, H, H, G, H, NaN
28.366334, 12.989932, -5.118221, -2.521005, -13.887998, -2.501259, -34.772481, 18.179839, -3.016512, 11.037432, 1.301121, -6.729013, 12.180728, -4.200971, -2.362338, NaN, 10.691116, NaN, 15.819373, -21.464325, NaN, 3.017940, 31.998395, NaN, 10.709061, 3.901794, 14.725972, 12.386586, -6.873002, -5.712928, -15.466639, -3.468548, -14.851472, -14.408200, -8.366947, 1.868438, NaN, 3.854851, 0.790599, -8.866690, 13.985560, NaN, -9.961846, -10.604151, -6.529056, NaN, -0.290462, 2.201251, NaN, -19.124177, -4.086505, NaN, 12.001459, 6.333325, 2.981472, 7.183239, -4.459377, 11.310223, 11.981565, 5.328338, NaN, -4.551206, NaN, 6.999257, NaN, 10.448726, 5.276737, -25.473266, -24.792393, 12.819461, 8.026876, -8.510137, 12.340569, -0.189379, -8.546954, 23.942922, -10.330494, 8.871443, 11.211547, 7.351870, 12.240607, -9.166244, NaN, 7.474695, 9.352545, 21.534816, NaN, NaN, -0.792090, -5.250398, -9.546064, 6.286020, -14.667055, 23.364832, NaN, G, H, G, G, I
NaN, NaN, -8.112318, -3.982929, -14.195663, -2.663620, -39.047121, NaN, -8.097727, 4.902571, -1.136243, -5.678632, 7.770326, NaN, -7.540788, NaN, 8.544064, 12.646343, NaN, -25.930771, 6.886573, -3.976036, NaN, 13.304454, 10.759772, NaN, 13.436573, 5.100246, -13.174810, -10.044368, -17.970762, -7.402113, -18.067017, -17.402414, -8.774532, -3.830794, -5.278762, -0.335623, 0.321792, -14.195693, 14.230859, -0.010914, -14.843959, -15.573218, -11.285421, -21.366704, -4.060610, -1.007147, 7.420129, -19.741593, -10.887179, 10.800183, 4.663060, 1.445542, 0.794017, 6.644877, -8.081330, 12.726015, 15.099651, 0.184446, 9.363522, -8.325995, 13.852179, 7.115326, 1.767529, 3.887241, 3.789788, -27.529333, -30.135221, 11.934020, 3.620592, -8.840572, NaN, -3.626980, NaN, 24.511095, -13.871939, 5.412285, NaN, 5.328853, 7.102741, -12.447760, NaN, NaN, 6.198154, 15.014765, -1.492770, 14.682626, -8.293078, -10.880609, -12.608048, -0.930843, -19.759162, 22.080063, -18.365378, G, H, K, J, J
