y, x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
-31.976207, NaN, 6.523045, -11.824124, -5.014401, -18.045522, NaN, -40.946155, 12.187445, -8.024994, 2.641959, -6.631781, -9.880634, NaN, -9.885070, NaN, 0.927050, 2.119769, 7.596990, NaN, -29.097357, 6.794658, 0.184495, 24.380985, NaN, 8.535329, -2.694481, 14.121319, 7.670820, -9.857765, NaN, -16.733283, -11.999531, -19.564526, -20.468747, -15.879503, -6.992005, -8.378167, -6.708415, -3.458186, -13.917788, 10.470499, 2.359807, -16.147734, -16.611664, NaN, -17.362150, -0.171238, -1.968505, 6.301742, -21.803733, -9.880284, 8.746929, 1.718658, -0.978856, NaN, 3.619759, -8.305938, 7.498273, 10.457038, -4.318826, 10.522856, -9.875695, 11.949853, 3.713923, 4.055946, 4.806044, 3.333828, -31.504067, -29.935127, 5.573552, 2.270444, -12.306712, NaN, -3.810067, -16.011733, 21.331700, -12.704776, 3.415835, 2.380251, 1.748551, 8.120178, -13.846749, -1.736236, 2.504075, 5.470608, 16.010644, -2.660949, 8.791741, -10.745053, NaN, -16.752211, NaN, -20.866944, 20.357994, -16.406229, K, H, G, K, G
-47.669171, 25.933329, 11.422081, -7.451171, -3.742990, -12.459145, -7.122336, -38.961696, 17.561730, -6.489737, NaN, NaN, -9.233567, 9.650329, NaN, -6.595353, -0.402396, NaN, 8.795570, 14.248641, -22.704097, 6.271991, 0.586846, 27.227274, 15.625349, NaN, -0.969086, 14.468013, 5.389294, -5.864165, -4.672482, NaN, -7.169901, NaN, -23.362955, -11.536712, -2.496935, NaN, 1.459499, 3.994448, -7.479064, 12.201672, 1.598933, -13.711084, -17.963192, -11.845080, NaN, -1.032489, -0.725222, NaN, -23.728633, -8.178733, 8.427139, 9.180333, 1.766756, -0.440538, 6.354745, NaN, NaN, 7.542610, 3.395454, 9.940689, -8.471412, 14.893345, NaN, NaN, 12.131656, NaN, -27.146421, -27.746407, 13.838966, 6.765075, -6.879185, 7.818932, -2.258114, -11.212444, 19.455220, -13.949900, 3.654840, NaN, 4.844177, 3.027773, -11.472407, 8.861039, NaN, 7.303898, 19.469860, 0.621549, 12.892183, -6.652787, -8.565032, -19.076564, 2.466815, -17.289694, 21.115347, -14.295187, NaN, H, K, G, J
-47.809548, 21.873727, 14.831526, NaN, -6.483140, -14.872733, 0.358477, -35.175165, 15.957472, NaN, 8.908183, 1.139942, NaN, 10.961159, -8.492305, -5.147394, 5.242971, 13.219541, 11.955060, 14.350467, -22.841089, 4.575340, 1.231651, 37.126222, 15.233283, 11.019706, 3.721908, NaN, 10.989403, -12.066926, -8.056356, NaN, NaN, -14.373074, -11.452942, -3.201016, -7.503799, -5.034086, NaN, -2.238836, NaN, 8.536256, 1.861270, -8.612809, -12.163363, -9.386768, NaN, -7.408104, 0.180459, 7.828810, -17.735103, NaN, 9.030764, 7.224023, NaN, 4.597583, NaN, -8.181544, 12.162329, 16.729723, -2.344288, 11.810481, -10.823488, 11.669755, 5.663534, 6.073129, 12.568834, NaN, -24.084902, -22.605631, 12.481590, 3.011027, -10.640114, 6.784811, -8.658002, -12.806567, 17.401694, -10.153778, 4.402747, 5.020914, NaN, 4.569857, -11.867921, 2.126604, 7.382479, 7.963749, 16.712302, -1.768683, 14.029882, -5.269583, -7.218371, -14.810903, 4.437696, -14.488033, 23.423246, -12.600719, J, H, G, K, K
-3.882197, 22.424883, 9.385728, -11.469746, -6.656066, -24.239725, -10.201020, -42.088173, 11.254481, -11.078308, 6.764775, -4.923706, -8.694593, 7.135819, NaN, -4.911256, -0.028746, 4.105949, 6.647615, 5.023410, -24.560284, NaN, NaN, 24.072179, 9.831831, 11.451752, NaN, 14.537364, 1.222113, NaN, -7.479894, NaN, -10.890303, -16.765781, NaN, -18.249349, -8.038412, -8.168009, -1.257684, -3.379886, -15.858913, 9.048602, 3.493195, -18.421182, -18.634130, -13.080342, -22.911964, -3.868836, -1.175570, 1.863258, -28.411812, -10.401179, 7.273055, 5.461673, -3.119393, -2.919994, 0.860160, -10.780221, 12.168402, 7.056081, -0.804218, 3.950690, -7.999612, NaN, -0.562458, 5.567149, NaN, 3.878111, -28.946209, -24.862901, 10.556606, -1.046822, -13.295315, 3.203503, -9.662827, -14.380597, 20.295579, -18.640333, 1.465830, 8.396881, 5.437489, 2.531514, NaN, 2.468556, NaN, 2.040429, 13.941167, -2.562295, 4.481362, -12.108681, -8.996668, NaN, 3.128433, -19.245947, 17.927159, -17.148325, G, H, K, I, H
75.726883, 27.134982, 18.573992, -7.082322, -1.788910, -14.874557, 0.033305, -33.527753, 14.451843, -0.383691, 9.328511, 1.249179, -5.931276, 12.276536, -6.277984, 0.651917, 9.773162, NaN, NaN, 11.569688, NaN, 11.721399, 0.594100, 35.791921, 16.880471, 13.347269, 7.264642, 18.760958, 13.467880, NaN, -4.856027, -8.915396, -9.207988, -12.738945, -12.709757, -10.943367, -3.042201, -2.007545, -0.388321, 0.711679, -9.780382, 13.570696, 6.577065, -8.672797, -10.389732, -8.923845, -15.874055, 2.402954, 6.157690, 14.246624, NaN, -3.798081, 15.686904, 7.336610, 5.361016, NaN, 5.761105, -2.979253, 13.497123, 20.624120, 2.623067, 17.733644, -3.100157, 16.031524, 5.697896, 9.583430, 7.919586, 7.470134, -25.688338, NaN, 8.825600, 6.610330, -7.942143, NaN, -1.229491, -11.759459, NaN, -7.937165, 7.792764, 7.080957, 9.917902, 13.747285, -7.326759, 10.432409, 9.951588, 13.442265, 20.557187, 3.472625, 16.456799, -3.082096, -6.097048, NaN, 8.335144, -12.675030, NaN, -10.307944, H, H, I, G, G
63.771691, 27.610485, 15.055418, -7.666902, -3.412667, -12.991637, 3.868254, NaN, 20.899368, -1.575681, 13.451066, 3.324747, -4.044815, 12.699234, -3.646894, -0.006713, NaN, 14.526277, 12.486650, 19.320549, -20.344588, 12.391364, 4.655404, 35.306418, 19.268480, 16.616157, 4.252776, 21.981060, 13.940547, -5.248739, -0.385935, -10.772490, -2.024035, NaN, -12.391316, -6.182054, 1.735815, -2.896312, 1.635978, NaN, -11.687747, 15.923414, NaN, -7.869245, -10.611199, -2.191147, -12.705119, 1.437684, 3.378449, 12.602499, -16.585988, NaN, 12.257926, 11.664704, NaN, 8.113654, 7.403450, -0.901724, 16.720237, 19.160453, 3.446536, 15.835476, -2.234894, 15.785069, 9.782557, 11.081507, 13.121280, 11.796069, -21.963976, -19.097723, 15.381765, 5.360761, -6.453666, 8.276717, -1.861207, -9.669274, 24.625723, -8.096772, 10.884216, 9.826299, 11.398762, 10.268489, -9.720828, 7.800494, 11.907490, 11.261912, 19.183448, 2.681695, 12.751019, -6.577805, -4.388081, -13.306530, 7.572513, -13.730493, 24.469188, NaN, NaN, H, I, J, H
37.699681, 24.062581, 14.091650, NaN, -5.786280, -13.176122, -2.005012, -37.035027, 16.996926, -2.018395, 13.155682, 2.689744, -5.671795, 13.252370, -4.615531, 2.684919, 3.686575, 11.004326, 10.545192, NaN, -20.177304, 9.789589, 0.936417, 32.687077, 14.114982, 13.138588, 1.703306, NaN, 11.166167, NaN, -7.163411, -18.131393, -5.453207, -10.276143, NaN, NaN, -1.429427, NaN, 3.314161, NaN, -9.851500, 17.884995, 4.755671, -11.883868, -7.525679, -10.384754, -12.377803, -2.533924, 3.578481, 6.436667, NaN, NaN, 11.201024, 7.874488, 5.099765, 5.516277, 3.497607, -5.621424, 15.639721, NaN, 3.385094, 16.983952, NaN, 16.419567, 9.717424, 13.384329, 11.649973, 5.028589, -23.979383, -21.141068, 13.984155, NaN, NaN, NaN, -2.121438, -6.817958, 22.080341, NaN, 5.135845, 12.257591, NaN, 7.521303, NaN, 6.156382, 7.604185, 12.021168, NaN, 5.559926, 16.188685, NaN, -6.508287, -13.630776, 5.996796, -15.148600, 24.588410, -8.395181, K, H, I, G, I
-0.743279, 21.378729, 9.570463, -7.058006, NaN, -16.301274, NaN, -40.130536, 16.079501, -2.767604, 8.308058, NaN, -9.270371, 9.613456, -5.831414, -5.165044, -1.751305, 12.029357, 11.344732, 10.652726, -19.109001, 5.513723, -2.999964, 35.870978, 16.995699, 11.799791, NaN, 15.373332, 8.489534, -9.443213, NaN, -22.373167, -3.928276, NaN, NaN, -7.386050, 0.843110, -1.252065, -0.321101, 4.741928, -13.865793, NaN, 3.228286, NaN, NaN, -11.837406, -15.486189, -3.967691, NaN, 2.328816, -19.634960, -8.903915, 8.463339, 4.877493, 5.266977, 4.160970, 6.308610, -5.021314, 9.589320, 13.328811, 4.707611, 14.272348, -6.621994, 15.330034, 8.443063, 8.896404, 10.394932, 6.915642, NaN, -20.152371, 13.572345, 3.686727, -11.685528, 5.358389, -0.616770, -10.762100, 23.728662, -11.313638, 4.985260, 10.766800, NaN, 4.931225, -13.724345, NaN, 3.686111, 7.345499, 17.549152, -1.755082, 12.803018, -5.147742, NaN, -19.526486, 7.001834, -16.939465, 26.523077, NaN, G, H, G, I, J
-77.933650, 26.417273, 10.972557, -9.242993, -3.942993, -18.566263, -1.996112, -40.994887, 17.038940, NaN, 9.632584, 1.187644, NaN, 8.001947, -4.533360, -3.960147, 3.497432, NaN, 11.810907, 13.073028, -24.087210, 6.822019, -3.721136, 30.613963, 11.219799, 10.217201, 4.031986, 17.439593, NaN, -9.182509, -7.655045, -16.887565, -8.498893, -17.325528, NaN, -12.855745, -1.160263, -4.877402, -6.088910, -3.702143, -17.114834, NaN, 1.991887, NaN, -11.563562, NaN, -17.986286, -5.752001, -3.787806, 10.344170, -22.870453, -9.708427, 7.477895, NaN, -0.674587, -0.111379, NaN, -7.203008, 11.008085, 11.441437, NaN, 12.449951, -7.934424, 13.300692, 6.935841, 3.986854, 9.833768, 5.376613, -29.497663, -27.040004, 10.291789, 3.459198, -13.206520, NaN, -2.834770, -13.429638, 18.311483, -14.640839, 8.881334, 4.201256, 7.492950, 7.914903, -10.283136, 2.023372, 7.553837, NaN, 17.837966, -3.262559, NaN, -12.552917, -10.679920, NaN, 5.474813, -15.023480, 21.618541, -14.808455, NaN, H, H, G, K
11.703008, 21.037840, 11.503019, -4.627903, -5.676801, NaN, 0.644274, -37.722664, 14.816438, -3.634991, 11.673884, NaN, -7.147085, 10.473526, -2.624049, 1.877561, -1.241955, 12.229705, 8.826794, 12.550464, -18.904674, 8.803344, 0.945638, 32.998992, 12.663825, 12.428122, 1.035381, 16.521849, 9.120576, NaN, -9.506286, -19.095816, -6.651068, -13.081258, -18.245726, -10.406158, -2.703702, -1.518895, NaN, NaN, -15.088607, 14.572164, NaN, -16.327082, -8.368627, -11.491194, -12.119063, NaN, 1.205743, 5.873312, -18.617036, NaN, 10.589809, 8.029936, 5.315349, 4.829952, 1.146155, -8.731992, 13.060878, 13.121893, NaN, 16.385387, -7.377937, 12.437767, 5.926121, 12.531363, 10.874861, 4.575181, -30.151611, -22.891721, 13.135026, NaN, -8.244922, 8.379717, NaN, -11.399933, 20.114584, -8.237691, 4.953606, NaN, NaN, 5.855754, -10.781520, 4.055797, NaN, 12.263027, 16.471478, 3.377995, NaN, -6.739104, -6.708024, -13.539173, 4.749562, -15.950609, 22.448584, -10.676430, H, H, G, H, K
25.600682, 21.875341, 11.415019, NaN, -7.448132, -14.205528, -4.090900, -37.165270, NaN, -5.471183, 14.552521, 1.421658, -7.667391, 13.818893, -6.854766, -1.855144, NaN, 9.112974, 12.357397, 10.670212, -24.421948, NaN, 5.204958, 31.651439, 17.340483, 13.620586, -0.682470, 17.368197, 7.417872, -12.033931, -6.098900, -18.178373, -5.087273, -12.586463, -11.569238, -11.100236, NaN, -6.662043, 5.743730, 0.293775, -10.036103, 18.898178, 2.219029, -12.924183, -11.123870, -7.361665, -17.777847, -4.388181, 1.046011, 3.312634, -23.121200, -3.008137, NaN, 7.249966, NaN, 1.166612, NaN, -7.381734, 12.398877, 11.464611, NaN, NaN, -7.517165, 17.107703, NaN, 10.774806, 13.555216, 5.458311, -21.190904, -22.961946, 12.125784, 5.829831, -8.587117, NaN, NaN, -11.886678, NaN, -10.276927, NaN, 11.332498, 6.582758, -0.344424, -11.680844, -0.278648, 8.566858, 3.648674, 13.227963, 3.644373, 13.293482, -8.947076, -2.770541, -13.650339, NaN, -14.016784, 26.979983, -10.371273, G, H, J, G, I
-178.046246, NaN, 10.450911, NaN, -2.662508, NaN, 0.716895, -38.233169, 17.970619, -4.736733, NaN, 2.031579, -9.793386, 9.378418, -5.946527, -9.754106, 1.244328, 13.199794, 12.577920, 17.089844, -24.115125, 4.288082, 0.847380, 31.580340, 14.718101, 10.757720, 3.568380, 16.464852, 11.917901, -9.199247, -11.804313, -16.996758, NaN, -15.953469, -18.620939, -7.494914, NaN, -5.806113, -2.461223, -0.069472, -12.476172, 11.200956, 1.497423, -11.312105, -14.537015, -11.655376, -19.309187, -5.447017, -1.576922, 7.243739, -18.190470, -7.333853, 11.758365, 5.890645, 0.693019, -0.249918, 6.035352, NaN, 11.415125, 14.405851, -1.308407, NaN, -13.901100, 11.875345, 5.183268, NaN, 12.325163, NaN, -30.067747, NaN, 15.419913, 3.946514, -9.134126, 10.445863, -3.774644, -11.320145, 20.293974, -8.409935, 2.797455, 4.815800, NaN, 3.502571, -11.809584, NaN, 1.469249, 6.190803, 18.558803, -3.771161, 15.297155, -3.928336, -9.429384, -13.658176, NaN, -15.851049, NaN, -17.331846, NaN, H, I, K, J
-41.875662, 25.791312, 10.426757, -14.819049, -7.203752, -18.308077, -4.395489, -39.063387, 12.549561, -5.972969, NaN, -0.453570, -9.983535, 8.403404, -8.399038, -2.987688, -0.580640, 9.803114, 8.728317, 12.550428, -23.990949, NaN, NaN, 30.630608, 15.408807, 13.563359, 2.163727, 11.407078, 8.647483, NaN, -8.233114, -19.846648, -10.636326, -15.350068, -17.780375, -10.400264, -5.900279, -3.646678, -7.090071, -3.460120, -14.658497, 10.253864, 1.148666, -14.234309, -14.005502, -12.882412, -20.213996, -3.240748, -0.643467, 8.294115, -24.489604, NaN, NaN, 6.327636, 1.068217, -2.671226, 7.065235, -7.442908, 10.032756, 6.223784, NaN, 6.230336, -9.608354, 9.846264, 3.400802, 5.520720, 7.972095, NaN, NaN, -23.071186, 10.383185, 0.973925, NaN, 3.710221, -8.503114, -11.962060, 15.420266, -11.965967, 6.494347, 7.169575, 2.136328, 6.109542, -12.572952, 2.674651, NaN, 7.001169, 18.648001, -0.706196, 8.513089, -6.014297, -11.255993, NaN, 3.148394, NaN, 21.137144, -17.325299, J, H, H, G, J
